,loss,N,device,mean[ms],var[ms]
137,sigmoid_pairwise_diff_hess_auc_exact,682782.7586206896,cuda,19.57088017463684,0.0013927570520309018
138,sigmoid_pairwise_loss,713813.7931034482,cuda,23.248192230860393,0.0011771026306001255
139,sigmoid_pairwise_diff_hess,713813.7931034482,cuda,40.19304180145264,1.0656415425690966
140,sigmoid_pairwise_loss_auc,713813.7931034482,cuda,15.808395465215048,0.0007188716989250882
141,sigmoid_pairwise_loss_auc_exact,713813.7931034482,cuda,20.89298192660014,0.0009170065349558678
142,sigmoid_pairwise_diff_hess_auc,713813.7931034482,cuda,20.752222220102947,0.026788700327049105
143,sigmoid_pairwise_diff_hess_auc_exact,713813.7931034482,cuda,21.202902952829998,0.0010781135845010998
144,sigmoid_pairwise_loss,744844.8275862068,cuda,25.276486953099568,0.0002836239629510197
145,sigmoid_pairwise_diff_hess,744844.8275862068,cuda,42.96794247627258,0.423441198059777
146,sigmoid_pairwise_loss_auc,744844.8275862068,cuda,17.273473421732586,6.331859675709793e-05
147,sigmoid_pairwise_loss_auc_exact,744844.8275862068,cuda,22.762215614318848,0.0011521691939151424
148,sigmoid_pairwise_diff_hess_auc,744844.8275862068,cuda,22.445075273513794,0.008678734679771575
149,sigmoid_pairwise_diff_hess_auc_exact,744844.8275862068,cuda,23.63869309425354,0.011803640714030431
150,sigmoid_pairwise_loss,775875.8620689654,cuda,27.36805558204651,0.0004209904677736631
151,sigmoid_pairwise_diff_hess,775875.8620689654,cuda,46.11614910761515,0.08980044261080718
152,sigmoid_pairwise_loss_auc,775875.8620689654,cuda,18.71571222941081,0.000580997370181851
153,sigmoid_pairwise_loss_auc_exact,775875.8620689654,cuda,24.697614272435505,0.00016579334579900102
154,sigmoid_pairwise_diff_hess_auc,775875.8620689654,cuda,24.267460266749065,0.006085712393024145
155,sigmoid_pairwise_diff_hess_auc_exact,775875.8620689654,cuda,25.779468377431233,0.0020963653516648468
156,sigmoid_pairwise_loss,806906.896551724,cuda,29.711625337600708,0.0004892627403402608
157,sigmoid_pairwise_diff_hess,806906.896551724,cuda,51.10683592160543,0.6610195525970666
158,sigmoid_pairwise_loss_auc,806906.896551724,cuda,20.258589426676433,0.00034620390353110346
159,sigmoid_pairwise_loss_auc_exact,806906.896551724,cuda,26.751055637995403,6.530775883422595e-05
160,sigmoid_pairwise_diff_hess_auc,806906.896551724,cuda,26.456305185953777,0.00188520574830717
161,sigmoid_pairwise_diff_hess_auc_exact,806906.896551724,cuda,26.9528489112854,0.11536638431065664
162,sigmoid_pairwise_loss,837937.9310344828,cuda,32.040757497151695,0.0006452605424682487
163,sigmoid_pairwise_diff_hess,837937.9310344828,cuda,54.513374487559,0.17752199244077674
164,sigmoid_pairwise_loss_auc,837937.9310344828,cuda,21.842379252115887,0.0005778457684881585
165,sigmoid_pairwise_loss_auc_exact,837937.9310344828,cuda,28.784375270207722,0.0004865241669575779
166,sigmoid_pairwise_diff_hess_auc,837937.9310344828,cuda,28.000735839207966,0.005129881210993719
167,sigmoid_pairwise_diff_hess_auc_exact,837937.9310344828,cuda,29.29527521133423,0.04097626268962055
168,sigmoid_pairwise_loss,868968.9655172414,cuda,34.46738990147909,0.001746955309057638
169,sigmoid_pairwise_diff_hess,868968.9655172414,cuda,57.77116266886393,0.07809667428812694
170,sigmoid_pairwise_loss_auc,868968.9655172414,cuda,23.507996638615925,0.00037077135805753235
171,sigmoid_pairwise_loss_auc_exact,868968.9655172414,cuda,31.00426944096883,8.422779055510747e-05
172,sigmoid_pairwise_diff_hess_auc,868968.9655172414,cuda,29.590126832326252,0.004060937517705396
173,sigmoid_pairwise_diff_hess_auc_exact,868968.9655172414,cuda,30.647255182266235,0.03848892265663532
174,sigmoid_pairwise_loss,900000.0,cuda,36.9575785001119,0.00013275543401252638
175,sigmoid_pairwise_diff_hess,900000.0,cuda,62.285982529322304,0.5381703564984011
176,sigmoid_pairwise_loss_auc,900000.0,cuda,25.20262535413106,0.0020156687568007527
177,sigmoid_pairwise_loss_auc_exact,900000.0,cuda,33.25016403198242,0.0012148695164266126
178,sigmoid_pairwise_diff_hess_auc,900000.0,cuda,31.2448566754659,0.026946894396903395
179,sigmoid_pairwise_diff_hess_auc_exact,900000.0,cuda,32.503164529800415,0.0074531282278940125
180,sigmoid_pairwise_loss,100.0,cpu,8.58306884765625e-05,8.759608742063088e-09
181,sigmoid_pairwise_diff_hess,100.0,cpu,0.0001377264658610026,1.4412964648929322e-11
182,sigmoid_pairwise_loss_auc,100.0,cpu,4.140535990397135e-05,1.997983013603112e-10
183,sigmoid_pairwise_loss_auc_exact,100.0,cpu,4.299481709798177e-05,2.1309966137374028e-11
184,sigmoid_pairwise_diff_hess_auc,100.0,cpu,0.00016029675801595053,1.8630746328401274e-10
185,sigmoid_pairwise_diff_hess_auc_exact,100.0,cpu,0.00013812383015950522,1.0509716553820506e-11
186,sigmoid_pairwise_loss,31131.03448275862,cpu,1.115075985590617,1.966426855738569e-05
187,sigmoid_pairwise_diff_hess,31131.03448275862,cpu,2.032804807027181,0.00025117946773257747
188,sigmoid_pairwise_loss_auc,31131.03448275862,cpu,1.202035903930664,3.82187716165087e-05
189,sigmoid_pairwise_loss_auc_exact,31131.03448275862,cpu,1.7026929060618083,3.5403315160288505e-05
190,sigmoid_pairwise_diff_hess_auc,31131.03448275862,cpu,2.0327092011769614,0.0022106496667346517
191,sigmoid_pairwise_diff_hess_auc_exact,31131.03448275862,cpu,2.098707596460978,0.0009743657680524443
192,sigmoid_pairwise_loss,62162.06896551724,cpu,4.403083086013794,0.001521452147585478
193,sigmoid_pairwise_diff_hess,62162.06896551724,cpu,7.600479602813721,0.00014840188930520526
194,sigmoid_pairwise_loss_auc,62162.06896551724,cpu,4.711388190587361,7.49390914557403e-05
195,sigmoid_pairwise_loss_auc_exact,62162.06896551724,cpu,6.759117682774861,0.00028723538985610096
196,sigmoid_pairwise_diff_hess_auc,62162.06896551724,cpu,7.3635164101918535,0.0016122134951249082
197,sigmoid_pairwise_diff_hess_auc_exact,62162.06896551724,cpu,7.922717730204265,0.011014687513592336
198,sigmoid_pairwise_loss,93193.10344827586,cpu,9.815365473429361,0.0037120364218910453
199,sigmoid_pairwise_diff_hess,93193.10344827586,cpu,16.132532914479572,0.002936973255234281
200,sigmoid_pairwise_loss_auc,93193.10344827586,cpu,10.579889933268229,0.0009565088987276087
201,sigmoid_pairwise_loss_auc_exact,93193.10344827586,cpu,15.182899713516235,0.0030904183859471837
202,sigmoid_pairwise_diff_hess_auc,93193.10344827586,cpu,15.761849164962769,0.01826441038114505
203,sigmoid_pairwise_diff_hess_auc_exact,93193.10344827586,cpu,17.30530611673991,0.010781962359652023
